Episode Fish 	 Reward
1	0	 -2.25
2	0	 -2.3
3	0	 -2.15
4	0	 -2.3
5	1	 -0.4
6	0	 -2.3
7	1	 -34.14977
8	0	 -1
9	0	 -1.4
10	0	 -2.3
11	0	 -1.35
12	0	 -1.45
13	2	 -40.29969
14	0	 -73.1498
15	0	 -2
16	0	 -1.25
17	0	 -37.59973
18	0	 -1
19	0	 -3.049999
20	0	 -20.49999
21	0	 -6.850012
22	0	 -5.549999
23	0	 -5.099998
24	0	 -1.3
25	0	 -9.650023
26	1	 -25.74991
27	0	 -1.4
28	0	 -3.449999
29	1	 -6.25001
30	0	 -5.850008
31	0	 -7.150013
32	2	 -4.749997
33	0	 -2.05
34	0	 -3.299999
35	0	 -1
36	0	 -5.950008
37	1	 -1.399999
38	0	 -16.00003
39	0	 -3.749999
40	0	 -2.3
41	1	 -1.45
42	0	 -6.450003
43	0	 -2.099998
44	2	 -19.59998
45	0	 -4.649998
46	0	 -1.8
47	0	 -13.90004
48	0	 -1.049999
49	0	 -16.75002
50	0	 -1.849998
51	0	 -2.1
52	0	 -1.3
53	0	 -1.3
54	2	 -13.25004
55	2	 -3.700003
56	1	 -4.049997
57	2	 -5.75
58	1	 -0.1
59	0	 -5.200006
60	1	 -6.650011
61	1	 -4.550002
62	0	 -2.499998
63	1	 -1.399998
64	0	 -5.85
65	0	 -3.499999
66	0	 -5.150005
67	0	 -0.9499992
68	3	 -5.150006
69	0	 1
70	1	 -9.800019
71	0	 -1.55
72	1	 0.2999998
73	1	 -0.3500001
74	0	 -1.1
75	0	 -2.599998
76	1	 0.5500001
77	1	 -0.2999995
78	2	 -1.299998
79	1	 -3.449998
80	2	 -4.300006
81	0	 -2.699999
82	0	 -2.05
83	2	 0.2000003
84	0	 -1.25
85	1	 0.75
86	0	 -1.25
87	2	 -2.15
88	0	 -0.3999997
89	1	 -1.149999
90	0	 -1.199999
91	0	 -1.099999
92	1	 -0.3999997
93	0	 -2.149998
94	0	 -3.399999
95	1	 -0.3500001
96	0	 0.09999985
97	0	 -1.8
98	0	 -1.45
99	0	 -1
100	0	 -1.95
101	0	 -1.1
102	1	 -1.649999
103	0	 -0.2999998
104	2	 -1.149999
105	2	 -2.749997
106	0	 -0.3999997
107	0	 -1.499999
108	0	 -2.149998
109	1	 1.15
110	1	 0.7000002
111	0	 -2.45
112	1	 1.35
113	0	 0.2499999
114	0	 0.2499999
115	0	 0.2999999
116	0	 0.2999999
117	1	 0.2499999
118	1	 1.35
119	0	 0.2999999
120	0	 -0.7999994
121	0	 0.2499999
122	0	 -1.699999
123	0	 0.2999999
